.headers on
--Name: Kindra Bilodeau
--File:Lab03.sql
--Date: January 22,2019

-- 1. What is the order number and the date of each order sold by each employee?
select e.employeeid, e.lastname, e.firstname, o.employeeid, o.orderid, o.orderdate
from employees e inner join orders o on e.employeeid = o.employeeid order by e.employeeid;
EmployeeID|LastName|FirstName|EmployeeID|OrderID|OrderDate
1|Davolio|Nancy|1|10258|1996-07-17
1|Davolio|Nancy|1|10270|1996-08-01
1|Davolio|Nancy|1|10275|1996-08-07
1|Davolio|Nancy|1|10285|1996-08-20
1|Davolio|Nancy|1|10292|1996-08-28
1|Davolio|Nancy|1|10293|1996-08-29
1|Davolio|Nancy|1|10304|1996-09-12
1|Davolio|Nancy|1|10306|1996-09-16
1|Davolio|Nancy|1|10311|1996-09-20
1|Davolio|Nancy|1|10314|1996-09-25
1|Davolio|Nancy|1|10316|1996-09-27
1|Davolio|Nancy|1|10325|1996-10-09
1|Davolio|Nancy|1|10340|1996-10-29
1|Davolio|Nancy|1|10351|1996-11-11
1|Davolio|Nancy|1|10357|1996-11-19
1|Davolio|Nancy|1|10361|1996-11-22
1|Davolio|Nancy|1|10364|1996-11-26
1|Davolio|Nancy|1|10371|1996-12-03
1|Davolio|Nancy|1|10374|1996-12-05
1|Davolio|Nancy|1|10376|1996-12-09
1|Davolio|Nancy|1|10377|1996-12-09
1|Davolio|Nancy|1|10385|1996-12-17
1|Davolio|Nancy|1|10387|1996-12-18
1|Davolio|Nancy|1|10393|1996-12-25
1|Davolio|Nancy|1|10394|1996-12-25
1|Davolio|Nancy|1|10396|1996-12-27
1|Davolio|Nancy|1|10400|1997-01-01
1|Davolio|Nancy|1|10401|1997-01-01
1|Davolio|Nancy|1|10405|1997-01-06
1|Davolio|Nancy|1|10453|1997-02-21
1|Davolio|Nancy|1|10461|1997-02-28
1|Davolio|Nancy|1|10465|1997-03-05
1|Davolio|Nancy|1|10469|1997-03-10
1|Davolio|Nancy|1|10473|1997-03-13
1|Davolio|Nancy|1|10482|1997-03-21
1|Davolio|Nancy|1|10486|1997-03-26
1|Davolio|Nancy|1|10508|1997-04-16
1|Davolio|Nancy|1|10524|1997-05-01
1|Davolio|Nancy|1|10525|1997-05-02
1|Davolio|Nancy|1|10537|1997-05-14
